          id  spam  predict
   inmail.11     1  1.00000
inmail.39586     1  1.00000
inmail.39790     1  1.00000
inmail.39775     1  1.00000
inmail.39757     1  1.00000
inmail.39721     1  1.00000
inmail.39718     1  1.00000
inmail.39715     1  1.00000
inmail.39706     1  1.00000
inmail.39695     1  1.00000
inmail.39689     1  1.00000
inmail.39664     1  1.00000
inmail.39645     1  1.00000
inmail.39643     1  1.00000
inmail.39603     1  1.00000
inmail.39590     1  1.00000
inmail.39565     1  1.00000
inmail.39794     1  1.00000
inmail.39544     1  1.00000
inmail.39531     1  1.00000
