          id  spam  predict
inmail.30786     1  1.58502
inmail.61392     1  1.40520
inmail.18606     0  1.28932
inmail.71189     1  1.21647
inmail.70876     1  1.21647
inmail.67251     1  1.21647
inmail.67247     1  1.21647
inmail.71182     1  1.21647
inmail.71183     1  1.21647
inmail.68173     1  1.21647
inmail.71178     1  1.21647
inmail.68187     1  1.21647
inmail.70770     1  1.21647
inmail.75152     1  1.21647
inmail.71192     1  1.21647
inmail.75148     1  1.21647
inmail.72389     1  1.21647
inmail.67253     1  1.21647
inmail.67262     1  1.21647
inmail.74910     1  1.21647
